#  name, allowedP, trueP, n, [sentinel], time
hpce.he915.fast_fourier_transform_combined, 8, 8, 16, 5.08428, 6.6182e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 19, 3.74151, 8.012e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 22, 2.7268, 7.606e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 26, 3.69267, 8.723e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 32, 5.12512, 8.54e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 38, 2.88568, 0.000268514
hpce.he915.fast_fourier_transform_combined, 8, 8, 45, 2.40339, 3.7304e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 53, 2.54823, 5.9134e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 64, 3.85805, 3.6842e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 76, 6.1119, 6.1407e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 90, 2.79351, 6.7242e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 107, 2.75288, 5.7457e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 128, 13.5511, 6.743e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 152, 2.44729, 0.00010998
hpce.he915.fast_fourier_transform_combined, 8, 8, 181, 11.5834, 9.8768e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 215, 9.9959, 0.00010794
hpce.he915.fast_fourier_transform_combined, 8, 8, 256, 12.5603, 0.000130363
hpce.he915.fast_fourier_transform_combined, 8, 8, 304, 21.2733, 0.000203952
hpce.he915.fast_fourier_transform_combined, 8, 8, 362, 14.1855, 0.000203499
hpce.he915.fast_fourier_transform_combined, 8, 8, 430, 21.8309, 0.000249491
hpce.he915.fast_fourier_transform_combined, 8, 8, 512, 29.3623, 0.00022061
hpce.he915.fast_fourier_transform_combined, 8, 8, 608, 14.2734, 0.000386876
hpce.he915.fast_fourier_transform_combined, 8, 8, 724, 29.7937, 0.000392394
hpce.he915.fast_fourier_transform_combined, 8, 8, 861, 15.6721, 0.00041496
hpce.he915.fast_fourier_transform_combined, 8, 8, 1024, 17.2834, 0.00048403
hpce.he915.fast_fourier_transform_combined, 8, 8, 1217, 18.0913, 0.000812128
hpce.he915.fast_fourier_transform_combined, 8, 8, 1448, 15.451, 0.000833963
hpce.he915.fast_fourier_transform_combined, 8, 8, 1722, 8.94497, 0.00092209
hpce.he915.fast_fourier_transform_combined, 8, 8, 2048, 3.20666, 0.000985262
hpce.he915.fast_fourier_transform_combined, 8, 8, 2435, 32.6554, 0.00173034
hpce.he915.fast_fourier_transform_combined, 8, 8, 2896, 17.7844, 0.00188271
hpce.he915.fast_fourier_transform_combined, 8, 8, 3444, 21.5802, 0.00252976
hpce.he915.fast_fourier_transform_combined, 8, 8, 4096, 51.962, 0.00214299
hpce.he915.fast_fourier_transform_combined, 8, 8, 4870, 28.5127, 0.00386211
