#  name, allowedP, trueP, n, [sentinel], time
hpce.he915.fast_fourier_transform_combined, 8, 8, 5792, 22.6981, 0.00400993
hpce.he915.fast_fourier_transform_combined, 8, 8, 6888, 50.7628, 0.00444248
hpce.he915.fast_fourier_transform_combined, 8, 8, 8192, 62.3632, 0.00483244
hpce.he915.fast_fourier_transform_combined, 8, 8, 9741, 81.562, 0.0086752
hpce.he915.fast_fourier_transform_combined, 8, 8, 11585, 108.158, 0.00968022
hpce.he915.fast_fourier_transform_combined, 8, 8, 13777, 45.378, 0.0125809
hpce.he915.fast_fourier_transform_combined, 8, 8, 16384, 71.5661, 0.0141345
hpce.he915.fast_fourier_transform_combined, 8, 8, 19483, 103.613, 0.0226556
hpce.he915.fast_fourier_transform_combined, 8, 8, 23170, 34.2337, 0.0229804
hpce.he915.fast_fourier_transform_combined, 8, 8, 27554, 13.9068, 0.0230821
hpce.he915.fast_fourier_transform_combined, 8, 8, 32768, 292.195, 0.0247883
hpce.he915.fast_fourier_transform_combined, 8, 8, 38967, 115.043, 0.0432396
hpce.he915.fast_fourier_transform_combined, 8, 8, 46340, 248.691, 0.0457095
hpce.he915.fast_fourier_transform_combined, 8, 8, 55108, 97.648, 0.0495625
hpce.he915.fast_fourier_transform_combined, 8, 8, 65536, 157.999, 0.0543367
hpce.he915.fast_fourier_transform_combined, 8, 8, 77935, 115.108, 0.0935488
hpce.he915.fast_fourier_transform_combined, 8, 8, 92681, 108.431, 0.0990095
hpce.he915.fast_fourier_transform_combined, 8, 8, 110217, 158.782, 0.111745
hpce.he915.fast_fourier_transform_combined, 8, 8, 131072, 45.6421, 0.115714
hpce.he915.fast_fourier_transform_combined, 8, 8, 155871, 297.653, 0.203244
hpce.he915.fast_fourier_transform_combined, 8, 8, 185363, 171.736, 0.216591
hpce.he915.fast_fourier_transform_combined, 8, 8, 220435, 163.94, 0.234264
hpce.he915.fast_fourier_transform_combined, 8, 8, 262144, 162.467, 0.251446
hpce.he915.fast_fourier_transform_combined, 8, 8, 311743, 121.912, 0.437595
hpce.he915.fast_fourier_transform_combined, 8, 8, 370727, 395.936, 0.463405
hpce.he915.fast_fourier_transform_combined, 8, 8, 440871, 360.627, 0.506791
hpce.he915.fast_fourier_transform_combined, 8, 8, 524288, 819.695, 0.578479
hpce.he915.fast_fourier_transform_combined, 8, 8, 623487, 179.707, 0.932065
hpce.he915.fast_fourier_transform_combined, 8, 8, 741455, 214.587, 1.00073
hpce.he915.fast_fourier_transform_combined, 8, 8, 881743, 165.235, 1.07051
hpce.he915.fast_fourier_transform_combined, 8, 8, 1048576, 468.885, 1.15183
hpce.he915.fast_fourier_transform_combined, 8, 8, 1246974, 494.472, 1.97778
hpce.he915.fast_fourier_transform_combined, 8, 8, 1482910, 675.103, 2.10557
hpce.he915.fast_fourier_transform_combined, 8, 8, 1763487, 227.417, 2.28954
hpce.he915.fast_fourier_transform_combined, 8, 8, 2097152, 1215.16, 2.45943
hpce.he915.fast_fourier_transform_combined, 8, 8, 2493948, 1217.01, 4.28996
hpce.he915.fast_fourier_transform_combined, 8, 8, 2965820, 1596.93, 4.52516
hpce.he915.fast_fourier_transform_combined, 8, 8, 3526975, 97.1915, 4.91661
hpce.he915.fast_fourier_transform_combined, 8, 8, 4194304, 1808.15, 5.29637
hpce.he915.fast_fourier_transform_combined, 8, 8, 4987896, 1811.83, 9.00012
hpce.he915.fast_fourier_transform_combined, 8, 8, 5931641, 1502.68, 9.53028
hpce.he915.fast_fourier_transform_combined, 8, 8, 7053950, 1884.51, 10.3932
hpce.he915.fast_fourier_transform_combined, 8, 8, 8388608, 291.764, 11.2194
hpce.he915.fast_fourier_transform_combined, 8, 8, 9975792, 1120.83, 18.9073
hpce.he915.fast_fourier_transform_combined, 8, 8, 11863283, 2828.51, 20.0541
hpce.he915.fast_fourier_transform_combined, 8, 8, 14107900, 1555.7, 22.1305
hpce.he915.fast_fourier_transform_combined, 8, 8, 16777216, 189.828, 23.5397
hpce.he915.fast_fourier_transform_combined, 8, 8, 19951584, 3571.63, 40.0385
