#  name, allowedP, trueP, n, [sentinel], time
hpce.he915.fast_fourier_transform_combined, 8, 8, 16, 4.82654, 0.000274587
hpce.he915.fast_fourier_transform_combined, 8, 8, 19, 2.10723, 3.235e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 22, 2.14402, 3.1611e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 26, 2.32263, 4.3752e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 32, 2.54904, 6.4836e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 38, 2.72471, 7.5164e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 45, 6.48658, 7.4871e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 53, 3.56945, 7.9159e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 64, 2.23269, 8.3299e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 76, 2.48611, 0.000105791
hpce.he915.fast_fourier_transform_combined, 8, 8, 90, 4.91873, 0.000101566
hpce.he915.fast_fourier_transform_combined, 8, 8, 107, 1.10036, 0.000135342
hpce.he915.fast_fourier_transform_combined, 8, 8, 128, 2.29399, 0.000123477
hpce.he915.fast_fourier_transform_combined, 8, 8, 152, 7.13128, 0.000174824
hpce.he915.fast_fourier_transform_combined, 8, 8, 181, 1.56635, 0.000158172
hpce.he915.fast_fourier_transform_combined, 8, 8, 215, 7.90047, 0.000199273
hpce.he915.fast_fourier_transform_combined, 8, 8, 256, 7.16267, 0.00024725
hpce.he915.fast_fourier_transform_combined, 8, 8, 304, 5.97013, 0.000325773
hpce.he915.fast_fourier_transform_combined, 8, 8, 362, 12.903, 0.000337339
hpce.he915.fast_fourier_transform_combined, 8, 8, 430, 7.81317, 0.000400225
hpce.he915.fast_fourier_transform_combined, 8, 8, 512, 13.4763, 0.000411265
hpce.he915.fast_fourier_transform_combined, 8, 8, 608, 26.6277, 0.000643136
hpce.he915.fast_fourier_transform_combined, 8, 8, 724, 18.0564, 0.00071647
hpce.he915.fast_fourier_transform_combined, 8, 8, 861, 9.82581, 0.000727876
hpce.he915.fast_fourier_transform_combined, 8, 8, 1024, 44.4607, 0.000861486
hpce.he915.fast_fourier_transform_combined, 8, 8, 1217, 35.1736, 0.00130833
hpce.he915.fast_fourier_transform_combined, 8, 8, 1448, 11.7985, 0.00137299
hpce.he915.fast_fourier_transform_combined, 8, 8, 1722, 20.4117, 0.00151264
hpce.he915.fast_fourier_transform_combined, 8, 8, 2048, 22.8573, 0.00164655
hpce.he915.fast_fourier_transform_combined, 8, 8, 2435, 27.3398, 0.00298787
hpce.he915.fast_fourier_transform_combined, 8, 8, 2896, 17.3408, 0.00300876
hpce.he915.fast_fourier_transform_combined, 8, 8, 3444, 27.219, 0.00326235
hpce.he915.fast_fourier_transform_combined, 8, 8, 4096, 51.7377, 0.00364988
hpce.he915.fast_fourier_transform_combined, 8, 8, 4870, 55.5209, 0.00609483
hpce.he915.fast_fourier_transform_combined, 8, 8, 5792, 12.225, 0.0063859
hpce.he915.fast_fourier_transform_combined, 8, 8, 6888, 42.699, 0.00682137
hpce.he915.fast_fourier_transform_combined, 8, 8, 8192, 55.2431, 0.00767526
hpce.he915.fast_fourier_transform_combined, 8, 8, 9741, 77.1663, 0.013396
hpce.he915.fast_fourier_transform_combined, 8, 8, 11585, 96.0921, 0.0144711
hpce.he915.fast_fourier_transform_combined, 8, 8, 13777, 24.3873, 0.0166632
hpce.he915.fast_fourier_transform_combined, 8, 8, 16384, 87.7634, 0.0173655
hpce.he915.fast_fourier_transform_combined, 8, 8, 19483, 39.6087, 0.029176
hpce.he915.fast_fourier_transform_combined, 8, 8, 23170, 50.7665, 0.0311168
hpce.he915.fast_fourier_transform_combined, 8, 8, 27554, 81.1988, 0.0350495
hpce.he915.fast_fourier_transform_combined, 8, 8, 32768, 147.612, 0.0377575
hpce.he915.fast_fourier_transform_combined, 8, 8, 38967, 264.248, 0.0625489
hpce.he915.fast_fourier_transform_combined, 8, 8, 46340, 42.145, 0.0671404
hpce.he915.fast_fourier_transform_combined, 8, 8, 55108, 72.1092, 0.0724216
hpce.he915.fast_fourier_transform_combined, 8, 8, 65536, 184.642, 0.0795511
hpce.he915.fast_fourier_transform_combined, 8, 8, 77935, 215.358, 0.136339
hpce.he915.fast_fourier_transform_combined, 8, 8, 92681, 203.797, 0.145068
hpce.he915.fast_fourier_transform_combined, 8, 8, 110217, 199.003, 0.152362
hpce.he915.fast_fourier_transform_combined, 8, 8, 131072, 171.949, 0.169122
hpce.he915.fast_fourier_transform_combined, 8, 8, 155871, 62.5964, 0.289007
hpce.he915.fast_fourier_transform_combined, 8, 8, 185363, 387.358, 0.309452
hpce.he915.fast_fourier_transform_combined, 8, 8, 220435, 256.214, 0.333395
hpce.he915.fast_fourier_transform_combined, 8, 8, 262144, 394.329, 0.371391
hpce.he915.fast_fourier_transform_combined, 8, 8, 311743, 251.212, 0.602107
hpce.he915.fast_fourier_transform_combined, 8, 8, 370727, 279.477, 0.64728
hpce.he915.fast_fourier_transform_combined, 8, 8, 440871, 99.7383, 0.694492
hpce.he915.fast_fourier_transform_combined, 8, 8, 524288, 570.035, 0.758912
hpce.he915.fast_fourier_transform_combined, 8, 8, 623487, 213.322, 1.29211
hpce.he915.fast_fourier_transform_combined, 8, 8, 741455, 547.813, 1.35335
