#  name, allowedP, trueP, n, [sentinel], time
hpce.he915.fast_fourier_transform_combined, 8, 8, 16, 5.08428, 7.932e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 19, 3.74151, 3.917e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 22, 2.7268, 4.209e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 26, 3.69267, 3.185e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 32, 5.12512, 3.193e-06
hpce.he915.fast_fourier_transform_combined, 8, 8, 38, 2.88568, 0.000104925
hpce.he915.fast_fourier_transform_combined, 8, 8, 45, 2.40339, 4.9485e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 53, 2.54823, 2.3585e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 64, 3.85805, 6.28e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 76, 6.1119, 0.000108487
hpce.he915.fast_fourier_transform_combined, 8, 8, 90, 2.79351, 5.7774e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 107, 2.75288, 5.5324e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 128, 13.5511, 6.8061e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 152, 2.44729, 0.000105473
hpce.he915.fast_fourier_transform_combined, 8, 8, 181, 11.5834, 0.000108434
hpce.he915.fast_fourier_transform_combined, 8, 8, 215, 9.9959, 0.000111997
hpce.he915.fast_fourier_transform_combined, 8, 8, 256, 12.5603, 0.000115249
hpce.he915.fast_fourier_transform_combined, 8, 8, 304, 21.2733, 0.000183755
hpce.he915.fast_fourier_transform_combined, 8, 8, 362, 14.1855, 0.000207154
hpce.he915.fast_fourier_transform_combined, 8, 8, 430, 21.8309, 0.00022973
hpce.he915.fast_fourier_transform_combined, 8, 8, 512, 29.3623, 0.000219932
hpce.he915.fast_fourier_transform_combined, 8, 8, 608, 14.2734, 0.000376184
hpce.he915.fast_fourier_transform_combined, 8, 8, 724, 29.7937, 0.000387492
hpce.he915.fast_fourier_transform_combined, 8, 8, 861, 15.6721, 0.000431368
hpce.he915.fast_fourier_transform_combined, 8, 8, 1024, 17.2834, 0.000440977
hpce.he915.fast_fourier_transform_combined, 8, 8, 1217, 18.0913, 0.000747165
hpce.he915.fast_fourier_transform_combined, 8, 8, 1448, 15.451, 0.000811384
hpce.he915.fast_fourier_transform_combined, 8, 8, 1722, 8.94497, 0.000881221
hpce.he915.fast_fourier_transform_combined, 8, 8, 2048, 3.20666, 0.000976259
hpce.he915.fast_fourier_transform_combined, 8, 8, 2435, 32.6554, 0.00169884
hpce.he915.fast_fourier_transform_combined, 8, 8, 2896, 17.7844, 0.00177207
hpce.he915.fast_fourier_transform_combined, 8, 8, 3444, 21.5802, 0.00193334
hpce.he915.fast_fourier_transform_combined, 8, 8, 4096, 51.962, 0.00206489
hpce.he915.fast_fourier_transform_combined, 8, 8, 4870, 28.5127, 0.00432041
hpce.he915.fast_fourier_transform_combined, 8, 8, 5792, 22.6981, 0.00393576
hpce.he915.fast_fourier_transform_combined, 8, 8, 6888, 50.7628, 0.00444474
hpce.he915.fast_fourier_transform_combined, 8, 8, 8192, 62.3632, 0.00483799
hpce.he915.fast_fourier_transform_combined, 8, 8, 9741, 81.562, 0.00855831
hpce.he915.fast_fourier_transform_combined, 8, 8, 11585, 108.158, 0.00921289
hpce.he915.fast_fourier_transform_combined, 8, 8, 13777, 45.378, 0.0103262
hpce.he915.fast_fourier_transform_combined, 8, 8, 16384, 71.5661, 0.0106955
hpce.he915.fast_fourier_transform_combined, 8, 8, 19483, 103.613, 0.0193329
hpce.he915.fast_fourier_transform_combined, 8, 8, 23170, 34.2337, 0.0209407
hpce.he915.fast_fourier_transform_combined, 8, 8, 27554, 13.9068, 0.022066
hpce.he915.fast_fourier_transform_combined, 8, 8, 32768, 292.195, 0.0244185
hpce.he915.fast_fourier_transform_combined, 8, 8, 38967, 115.043, 0.042258
hpce.he915.fast_fourier_transform_combined, 8, 8, 46340, 248.691, 0.0456672
hpce.he915.fast_fourier_transform_combined, 8, 8, 55108, 97.648, 0.0498571
hpce.he915.fast_fourier_transform_combined, 8, 8, 65536, 157.999, 0.0557497
hpce.he915.fast_fourier_transform_combined, 8, 8, 77935, 115.108, 0.0947783
hpce.he915.fast_fourier_transform_combined, 8, 8, 92681, 108.431, 0.100261
hpce.he915.fast_fourier_transform_combined, 8, 8, 110217, 158.782, 0.10672
